file,job,format,percentile_list,ioengine,direct,norandommap,randrepeat,group_reporting, stonewall,new_group, rw, rwmixread, numjobs,iodepth, bs,time_based, ramp_time, runtime,loops, rate_iops,log_avg_msec,write_iops_log,buffer_compress_percentage
ran_write_interference.fio,ran_write_interference_260k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_270k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,33750,,,60
ran_write_interference.fio,ran_write_interference_270k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_280k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,35000,,,60
ran_write_interference.fio,ran_write_interference_280k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_290k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,36250,,,60
ran_write_interference.fio,ran_write_interference_290k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_300k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,3200,,37500,,,60
ran_write_interference.fio,ran_write_interference_300k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,3200,,,,,60
ran_write_interference.fio,ran_write_interference_310k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,38750,,,60
ran_write_interference.fio,ran_write_interference_310k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_320k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,40000,,,60
ran_write_interference.fio,ran_write_interference_320k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_330k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,41250,,,60
ran_write_interference.fio,ran_write_interference_330k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_340k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,42500,,,60
ran_write_interference.fio,ran_write_interference_340k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_350k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,3200,,43750,,,60
ran_write_interference.fio,ran_write_interference_350k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,3200,,,,,60
ran_write_interference.fio,ran_write_interference_360k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,45000,,,60
ran_write_interference.fio,ran_write_interference_360k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_370k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,46250,,,60
ran_write_interference.fio,ran_write_interference_370k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_380k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,47500,,,60
ran_write_interference.fio,ran_write_interference_380k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_390k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,48750,,,60
ran_write_interference.fio,ran_write_interference_390k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_400k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,3200,,50000,,,60
ran_write_interference.fio,ran_write_interference_400k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,3200,,,,,60
ran_qd1.fio,ran_write_qd1,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randwrite,,1,1,4k,yes,120,3200,,,,,60
ran_qd1.fio,ran_read_qd1,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randread,,1,1,4k,yes,120,3200,,,,,60
ran_read.fio,ran_read,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,3200,,,1000,iops_ran_read,60
seq_precon.fio,seq_precon,yes,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,write, ,1,64,128k,,,,2, ,,,60
seq_write.fio,seq_write,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,write, ,1,64,128k,yes,120,3200,,,1000,iops_seq_write,60
seq_read.fio,seq_read,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,read, ,1,64,128k,yes,120,3200,,,1000,iops_seq_read,60
seq_write_interference.fio,seq_write_interference_250m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,write, ,1,64,128k,yes,120,3200,,1907,,,60
seq_write_interference.fio,seq_write_interference_250m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,3200,,,,,60
seq_write_interference.fio,seq_write_interference_500m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,3200,,3814,,,60
seq_write_interference.fio,seq_write_interference_500m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,3200,,,,,60
seq_write_interference.fio,seq_write_interference_750m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,600,,5722,,,60
seq_write_interference.fio,seq_write_interference_750m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
seq_write_interference.fio,seq_write_interference_1000m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,3200,,7629,,,60
seq_write_interference.fio,seq_write_interference_1000m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,3200,,,,,60
seq_write_interference.fio,seq_write_interference_1250m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,600,,9536,,,60
seq_write_interference.fio,seq_write_interference_1250m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
seq_write_interference.fio,seq_write_interference_1500m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,3200,,11444,,,60
seq_write_interference.fio,seq_write_interference_1500m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,3200,,,,,60
seq_write_interference.fio,seq_write_interference_1750m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,600,,13351,,,60
seq_write_interference.fio,seq_write_interference_1750m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
seq_write_interference.fio,seq_write_interference_2000m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,3200,,15258,,,60
seq_write_interference.fio,seq_write_interference_2000m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,3200,,,,,60
seq_write_interference.fio,seq_write_interference_2250m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,600,,17166,,,60
seq_write_interference.fio,seq_write_interference_2250m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
seq_write_interference.fio,seq_write_interference_2500m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,600,,19073,,,60
seq_write_interference.fio,seq_write_interference_2500m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
seq_write_interference.fio,seq_write_interference_2750m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,600,,20980,,,60
seq_write_interference.fio,seq_write_interference_2750m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
seq_write_interference.fio,seq_write_interference_3000m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,3200,,22888,,,60
seq_write_interference.fio,seq_write_interference_3000m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,3200,,,,,60
seq_write_interference.fio,seq_write_interference_3250m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,600,,24795,,,60
seq_write_interference.fio,seq_write_interference_3250m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
seq_write_interference.fio,seq_write_interference_3500m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,600,,26702,,,60
seq_write_interference.fio,seq_write_interference_3500m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
seq_write_interference.fio,seq_write_interference_3750m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,600,,28610,,,60
seq_write_interference.fio,seq_write_interference_3750m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
seq_write_interference.fio,seq_write_interference_4000m_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,yes,yes,write, ,1,64,128k,yes,120,3200,,30517,,,60
seq_write_interference.fio,seq_write_interference_4000m_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randread,,8,32,4k,yes,120,3200,,,,,60
ran_precon_8k.fio,ran_precon_8k,yes,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randwrite, ,8,32,8k,yes,,28800,, ,,,60
ran_write_8k.fio,ran_write_8k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randwrite,,8,32,8k,yes,120,3200,,,1000,iops_ran_write_8k,60
ran_read_8k.fio,ran_read_8k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,8k,yes,120,3200,,,1000,iops_ran_read_8k,60
ran_precon_16k.fio,ran_precon_16k,yes,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,,0,yes,,,randwrite, ,8,32,16k,yes,,28800,,,,,60
ran_write_16k.fio,ran_write_16k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randwrite,,8,32,16k,yes,120,3200,,,1000,iops_ran_write_16k,60
ran_read_16k.fio,ran_read_16k,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,16k,yes,120,3200,,,1000,iops_ran_read_16k,60
